Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Backend https://api.asifahmadkhan.com/auth/login,147,147,3,3.59102189796032,2.1967949999179837,12.134500000001935,149.0,1.2332294112331317,1.2332294112331317,3,3,3,4,5,8,9,12,12,12,12
GET,Backend https://api.asifahmadkhan.com/auth/signup,147,147,3,3.373063768704076,2.085772999976143,8.289618999924642,150.0,1.2332294112331317,1.2332294112331317,3,3,4,4,6,6,7,7,8,8,8
GET,Backend https://api.asifahmadkhan.com/health,147,0,5,12.409804489792105,2.867331000061313,157.2453129999758,77.0,1.2332294112331317,0.0,5,11,11,14,20,27,150,150,160,160,160
GET,Backend https://api.asifahmadkhan.com/ollama/info,147,147,3,3.104575795920819,1.984332999995786,7.7535949999401055,150.0,1.2332294112331317,1.2332294112331317,3,3,3,3,4,5,7,7,8,8,8
GET,Backend https://api.asifahmadkhan.com/ollama/stats,147,147,3,3.117490727897323,1.9367680000641485,8.00349099995401,151.0,1.2332294112331317,1.2332294112331317,3,3,3,4,4,6,7,8,8,8,8
GET,Frontend https://asifahmadkhan.com/index.html,96,96,26,33.61752220834072,20.53882400002749,189.39311799999814,6792.0,0.805374309376739,0.805374309376739,26,39,42,43,48,57,65,190,190,190,190
GET,Frontend https://asifahmadkhan.com/login.html,96,96,23,23.960962645832733,18.369654999901286,51.35076599992772,6792.0,0.805374309376739,0.805374309376739,23,24,24,24,28,32,42,51,51,51,51
GET,Frontend https://asifahmadkhan.com/signup.html,96,96,24,25.266821635424225,18.731537000007847,62.97878700002002,6793.0,0.805374309376739,0.805374309376739,24,24,25,26,35,37,50,63,63,63,63
POST,Ollama /ask,71,45,60000.0,50607.32464085916,3356.4216649999707,60008.04101699998,366.28169014084506,0.5956414163098799,0.3775192075203464,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,Ollama /health,117,0,30,36.042410931622335,21.424248000016632,95.47571699999935,282.0,0.9815499395529007,0.0,30,33,43,50,60,68,79,81,95,95,95
GET,Ollama /models,117,0,5,5.086087205128941,3.4308799999962503,23.416492000023936,123.0,0.9815499395529007,0.0,5,5,5,5,6,8,12,14,23,23,23
POST,TokenAPI /v1/chat/completions,118,118,5,5.056022228807328,3.8998020000917677,7.842014999937419,131.96610169491527,0.989939255275575,0.989939255275575,5,5,5,6,6,7,8,8,8,8,8
GET,TokenAPI /v1/health,118,118,7,10.106949135595611,4.249698000080571,30.719030999989627,131.96610169491527,0.989939255275575,0.989939255275575,7,12,13,14,19,22,26,28,31,31,31
GET,TokenAPI /v1/models,118,118,5,5.061107050854559,3.609373000017513,16.476275999934842,131.96610169491527,0.989939255275575,0.989939255275575,5,5,5,5,6,8,10,11,16,16,16
,Aggregated,1682,1275,5,2147.463900173011,1.9367680000641485,60008.04101699998,1293.589774078478,14.110829045538281,10.696377546409815,5,11,22,23,33,64,60000,60000,60000,60000,60000
